name,age,country,year,Date_Given,sports,gold_medal,silver_medal,brone_medal,total_medal
MichaelPhelps,23.0,United States,2008,2008-08-24,Swimming,8,0,0,8
MichaelPhelps,19.0,United States,2004,2004-08-29,Swimming,6,0,2,8
MichaelPhelps,27.0,United States,2012,2012-08-12,Swimming,4,2,0,6
NatalieCoughlin,25.0,United States,2008,2008-08-24,Swimming,1,2,3,6
AlekseyNemov,24.0,Russia,2000,2000-10-01,Gymnastics,2,1,3,6
AliciaCoutts,24.0,Australia,2012,2012-08-12,Swimming,1,3,1,5
MissyFranklin,17.0,United States,2012,2012-08-12,Swimming,4,0,1,5
RyanLochte,27.0,United States,2012,2012-08-12,Swimming,2,2,1,5
AllisonSchmitt,22.0,United States,2012,2012-08-12,Swimming,3,1,1,5
NatalieCoughlin,21.0,United States,2004,2004-08-29,Swimming,2,2,1,5
IanThorpe,17.0,Australia,2000,2000-10-01,Swimming,3,2,0,5
DaraTorres,33.0,United States,2000,2000-10-01,Swimming,2,0,3,5
CindyKlassen,26.0,Canada,2006,2006-02-26,Speed Skating,1,2,2,5
NastiaLiukin,18.0,United States,2008,2008-08-24,Gymnastics,1,3,1,5
MaritBjrgen,29.0,Norway,2010,2010-02-28,Cross Country Skiing,3,1,1,5
SunYang,20.0,China,2012,2012-08-12,Swimming,2,1,1,4
KirstyCoventry,24.0,Zimbabwe,2008,2008-08-24,Swimming,1,3,0,4
LibbyLentonTrickett,23.0,Australia,2008,2008-08-24,Swimming,2,1,1,4
RyanLochte,24.0,United States,2008,2008-08-24,Swimming,2,0,2,4
IngedeBruijn,30.0,Netherlands,2004,2004-08-29,Swimming,1,1,2,4
PetriaThomas,28.0,Australia,2004,2004-08-29,Swimming,3,1,0,4
IanThorpe,21.0,Australia,2004,2004-08-29,Swimming,2,1,1,4
IngedeBruijn,27.0,Netherlands,2000,2000-10-01,Swimming,3,1,0,4
GaryHallJr,25.0,United States,2000,2000-10-01,Swimming,2,1,1,4
MichaelKlim,23.0,Australia,2000,2000-10-01,Swimming,2,2,0,4
SusieONeill,27.0,Australia,2000,2000-10-01,Swimming,1,3,0,4
JennyThompson,27.0,United States,2000,2000-10-01,Swimming,3,0,1,4
PietervandenHoogenband,22.0,Netherlands,2000,2000-10-01,Swimming,2,0,2,4
AnHyeonSu,20.0,South Korea,2006,2006-02-26,Short-Track Speed Skating,3,0,1,4
AliyaMustafina,17.0,Russia,2012,2012-08-12,Gymnastics,1,1,2,4
ShawnJohnson,16.0,United States,2008,2008-08-24,Gymnastics,1,3,0,4
DmitrySautin,26.0,Russia,2000,2000-10-01,Diving,1,1,2,4
LeontienZijlaardvanMoorsel,30.0,Netherlands,2000,2000-10-01,Cycling,3,1,0,4
PetterNorthugJr,24.0,Norway,2010,2010-02-28,Cross Country Skiing,2,1,1,4
OleEinarBjrndalen,28.0,Norway,2002,2002-02-24,Biathlon,4,0,0,4
JanicaKostelic,20.0,Croatia,2002,2002-02-24,Alpine Skiing,3,1,0,4
NathanAdrian,23.0,United States,2012,2012-08-12,Swimming,2,1,0,3
YannickAgnel,20.0,France,2012,2012-08-12,Swimming,2,1,0,3
BrittanyElmslie,18.0,Australia,2012,2012-08-12,Swimming,1,2,0,3
MattGrevers,27.0,United States,2012,2012-08-12,Swimming,2,1,0,3
RyosukeIrie,22.0,Japan,2012,2012-08-12,Swimming,0,2,1,3
CullenJones,28.0,United States,2012,2012-08-12,Swimming,1,2,0,3
RanomiKromowidjojo,21.0,Netherlands,2012,2012-08-12,Swimming,2,1,0,3
CamilleMuffat,22.0,France,2012,2012-08-12,Swimming,1,1,1,3
MelSchlanger,25.0,Australia,2012,2012-08-12,Swimming,1,2,0,3
EmilySeebohm,20.0,Australia,2012,2012-08-12,Swimming,1,2,0,3
RebeccaSoni,25.0,United States,2012,2012-08-12,Swimming,2,1,0,3
SatomiSuzuki,21.0,Japan,2012,2012-08-12,Swimming,0,1,2,3
DanaVollmer,24.0,United States,2012,2012-08-12,Swimming,3,0,0,3
AlainBernard,25.0,France,2008,2008-08-24,Swimming,1,1,1,3
LszlCsehJr,22.0,Hungary,2008,2008-08-24,Swimming,0,3,0,3
MattGrevers,23.0,United States,2008,2008-08-24,Swimming,2,1,0,3
MargaretHoelzer,25.0,United States,2008,2008-08-24,Swimming,0,2,1,3
KatieHoff,19.0,United States,2008,2008-08-24,Swimming,0,1,2,3
LeiselJones,22.0,Australia,2008,2008-08-24,Swimming,2,1,0,3
KosukeKitajima,25.0,Japan,2008,2008-08-24,Swimming,2,0,1,3
AndrewLauterstein,21.0,Australia,2008,2008-08-24,Swimming,0,1,2,3
JasonLezak,32.0,United States,2008,2008-08-24,Swimming,2,0,1,3
PangJiaying,23.0,China,2008,2008-08-24,Swimming,0,1,2,3
AaronPeirsol,25.0,United States,2008,2008-08-24,Swimming,2,1,0,3
StephRice,20.0,Australia,2008,2008-08-24,Swimming,3,0,0,3
JessSchipper,21.0,Australia,2008,2008-08-24,Swimming,1,0,2,3
RebeccaSoni,21.0,United States,2008,2008-08-24,Swimming,1,2,0,3
EamonSullivan,22.0,Australia,2008,2008-08-24,Swimming,0,2,1,3
DaraTorres,41.0,United States,2008,2008-08-24,Swimming,0,3,0,3
AmandaBeard,22.0,United States,2004,2004-08-29,Swimming,1,2,0,3
AntjeBuschschulte,25.0,Germany,2004,2004-08-29,Swimming,0,0,3,3
KirstyCoventry,20.0,Zimbabwe,2004,2004-08-29,Swimming,1,1,1,3
IanCrocker,21.0,United States,2004,2004-08-29,Swimming,1,1,1,3
GrantHackett,24.0,Australia,2004,2004-08-29,Swimming,1,2,0,3
BrendanHansen,22.0,United States,2004,2004-08-29,Swimming,1,1,1,3
JodieHenry,20.0,Australia,2004,2004-08-29,Swimming,3,0,0,3
OtyliaJedrzejczak,20.0,Poland,2004,2004-08-29,Swimming,1,2,0,3
LeiselJones,18.0,Australia,2004,2004-08-29,Swimming,1,1,1,3
KosukeKitajima,21.0,Japan,2004,2004-08-29,Swimming,2,0,1,3
LaureManaudou,17.0,France,2004,2004-08-29,Swimming,1,1,1,3
AaronPeirsol,21.0,United States,2004,2004-08-29,Swimming,3,0,0,3
KaitlinSandeno,21.0,United States,2004,2004-08-29,Swimming,1,1,1,3
RolandSchoeman,24.0,South Africa,2004,2004-08-29,Swimming,1,1,1,3
PietervandenHoogenband,26.0,Netherlands,2004,2004-08-29,Swimming,1,2,0,3
ThereseAlshammar,23.0,Sweden,2000,2000-10-01,Swimming,0,2,1,3
YanaKlochkova,18.0,Ukraine,2000,2000-10-01,Swimming,2,1,0,3
LennyKrayzelburg,24.0,United States,2000,2000-10-01,Swimming,3,0,0,3
MassimilianoRosolino,22.0,Italy,2000,2000-10-01,Swimming,1,1,1,3
PetriaThomas,25.0,Australia,2000,2000-10-01,Swimming,0,2,1,3
MattWelsh,23.0,Australia,2000,2000-10-01,Swimming,0,2,1,3
LeeJeongSu,20.0,South Korea,2010,2010-02-28,Short-Track Speed Skating,2,1,0,3
ApoloAntonOhno,27.0,United States,2010,2010-02-28,Short-Track Speed Skating,0,1,2,3
WangMeng,24.0,China,2010,2010-02-28,Short-Track Speed Skating,3,0,0,3
JinSeonYu,17.0,South Korea,2006,2006-02-26,Short-Track Speed Skating,3,0,0,3
LeeHoSeok,19.0,South Korea,2006,2006-02-26,Short-Track Speed Skating,1,2,0,3
ApoloAntonOhno,23.0,United States,2006,2006-02-26,Short-Track Speed Skating,1,0,2,3
WangMeng,20.0,China,2006,2006-02-26,Short-Track Speed Skating,1,1,1,3
MarcGagnon,26.0,Canada,2002,2002-02-24,Short-Track Speed Skating,2,0,1,3
YangYangA,25.0,China,2002,2002-02-24,Short-Track Speed Skating,2,1,0,3
StephanieBeckert,21.0,Germany,2010,2010-02-28,Speed Skating,1,2,0,3
MartinaSblkov,22.0,Czech Republic,2010,2010-02-28,Speed Skating,2,0,1,3
EnricoFabris,24.0,Italy,2006,2006-02-26,Speed Skating,2,0,1,3
ChadHedrick,28.0,United States,2006,2006-02-26,Speed Skating,1,1,1,3
JochemUytdehaage,25.0,Netherlands,2002,2002-02-24,Speed Skating,2,1,0,3
SabineVlker,28.0,Germany,2002,2002-02-24,Speed Skating,0,2,1,3
GregorSchlierenzauer,20.0,Austria,2010,2010-02-28,Ski Jumping,1,0,2,3
LarsBystl,27.0,Norway,2006,2006-02-26,Ski Jumping,1,0,2,3
JohnnySpillane,29.0,United States,2010,2010-02-28,Nordic Combined,0,3,0,3
FelixGottwald,30.0,Austria,2006,2006-02-26,Nordic Combined,2,1,0,3
GeorgHettich,27.0,Germany,2006,2006-02-26,Nordic Combined,1,1,1,3
FelixGottwald,26.0,Austria,2002,2002-02-24,Nordic Combined,0,0,3,3
SamppaLajunen,22.0,Finland,2002,2002-02-24,Nordic Combined,3,0,0,3
AlyRaisman,18.0,United States,2012,2012-08-12,Gymnastics,2,0,1,3
KoheiUchimura,23.0,Japan,2012,2012-08-12,Gymnastics,1,2,0,3
ZouKai,24.0,China,2012,2012-08-12,Gymnastics,2,0,1,3
ChengFei,20.0,China,2008,2008-08-24,Gymnastics,1,0,2,3
YangWei,28.0,China,2008,2008-08-24,Gymnastics,2,1,0,3
YangYilin,15.0,China,2008,2008-08-24,Gymnastics,1,0,2,3
ZouKai,20.0,China,2008,2008-08-24,Gymnastics,3,0,0,3
MarianDragulescu,23.0,Romania,2004,2004-08-29,Gymnastics,0,1,2,3
PaulHamm,21.0,United States,2004,2004-08-29,Gymnastics,1,2,0,3
CarlyPatterson,16.0,United States,2004,2004-08-29,Gymnastics,1,2,0,3
CatalinaPonor,16.0,Romania,2004,2004-08-29,Gymnastics,3,0,0,3
SimonaAmnar,20.0,Romania,2000,2000-10-01,Gymnastics,2,0,1,3
SvetlanaKhorkina,21.0,Russia,2000,2000-10-01,Gymnastics,1,2,0,3
YekaterinaLobaznyuk,17.0,Russia,2000,2000-10-01,Gymnastics,0,2,1,3
YelenaZamolodchikova,17.0,Russia,2000,2000-10-01,Gymnastics,2,1,0,3
GuoShuang,26.0,China,2012,2012-08-12,Cycling,0,2,1,3
ChrisHoy,32.0,Great Britain,2008,2008-08-24,Cycling,3,0,0,3
BradleyWiggins,24.0,Great Britain,2004,2004-08-29,Cycling,1,1,1,3
FlorianRousseau,26.0,France,2000,2000-10-01,Cycling,2,1,0,3
JustynaKowalczyk,27.0,Poland,2010,2010-02-28,Cross Country Skiing,1,1,1,3
JohanOlsson,29.0,Sweden,2010,2010-02-28,Cross Country Skiing,1,0,2,3
StefaniaBelmondo,33.0,Italy,2002,2002-02-24,Cross Country Skiing,1,1,1,3
YuliyaChepalova,25.0,Russia,2002,2002-02-24,Cross Country Skiing,1,1,1,3
FrodeEstil,29.0,Norway,2002,2002-02-24,Cross Country Skiing,2,1,0,3
BenteSkariMartinsen,29.0,Norway,2002,2002-02-24,Cross Country Skiing,1,1,1,3
MagdalenaNeuner,23.0,Germany,2010,2010-02-28,Biathlon,2,1,0,3
EmilHegleSvendsen,24.0,Norway,2010,2010-02-28,Biathlon,2,1,0,3
AlbinaAkhatova,29.0,Russia,2006,2006-02-26,Biathlon,1,0,2,3
OleEinarBjrndalen,32.0,Norway,2006,2006-02-26,Biathlon,0,2,1,3
SvenFischer,34.0,Germany,2006,2006-02-26,Biathlon,2,0,1,3
MartinaGlagowBeck,26.0,Germany,2006,2006-02-26,Biathlon,0,3,0,3
MichaelGreis,29.0,Germany,2006,2006-02-26,Biathlon,3,0,0,3
KatiWilhelm,29.0,Germany,2006,2006-02-26,Biathlon,1,2,0,3
KatiWilhelm,25.0,Germany,2002,2002-02-24,Biathlon,2,1,0,3
YohanBlake,22.0,Jamaica,2012,2012-08-12,Athletics,1,2,0,3
UsainBolt,25.0,Jamaica,2012,2012-08-12,Athletics,3,0,0,3
AllysonFelix,26.0,United States,2012,2012-08-12,Athletics,3,0,0,3
ShellyAnnFraserPryce,25.0,Jamaica,2012,2012-08-12,Athletics,1,2,0,3
CarmelitaJeter,32.0,United States,2012,2012-08-12,Athletics,1,1,1,3
UsainBolt,21.0,Jamaica,2008,2008-08-24,Athletics,3,0,0,3
VeronicaCampbellBrown,22.0,Jamaica,2004,2004-08-29,Athletics,2,0,1,3
JustinGatlin,22.0,United States,2004,2004-08-29,Athletics,1,1,1,3
BodeMiller,32.0,United States,2010,2010-02-28,Alpine Skiing,1,1,1,3
AkselLundSvindal,27.0,Norway,2010,2010-02-28,Alpine Skiing,1,1,1,3
AnjaPrson,24.0,Sweden,2006,2006-02-26,Alpine Skiing,1,0,2,3
StephanEberharter,32.0,Austria,2002,2002-02-24,Alpine Skiing,1,1,1,3
DingNing,22.0,China,2012,2012-08-12,Table Tennis,1,1,0,2
FengTianWei,25.0,Singapore,2012,2012-08-12,Table Tennis,0,0,2,2
LiXiaoxia,24.0,China,2012,2012-08-12,Table Tennis,2,0,0,2
DmitrijOvtcharov,23.0,Germany,2012,2012-08-12,Table Tennis,0,0,2,2
WangHao,28.0,China,2012,2012-08-12,Table Tennis,1,1,0,2
ZhangJike,24.0,China,2012,2012-08-12,Table Tennis,2,0,0,2
GuoYue,20.0,China,2008,2008-08-24,Table Tennis,1,0,1,2
MaLin,28.0,China,2008,2008-08-24,Table Tennis,2,0,0,2
WangHao,24.0,China,2008,2008-08-24,Table Tennis,1,1,0,2
WangLiqin,30.0,China,2008,2008-08-24,Table Tennis,1,0,1,2
WangNan,29.0,China,2008,2008-08-24,Table Tennis,1,1,0,2
ZhangYining,26.0,China,2008,2008-08-24,Table Tennis,2,0,0,2
ZhangYining,22.0,China,2004,2004-08-29,Table Tennis,2,0,0,2
KongLinghui,24.0,China,2000,2000-10-01,Table Tennis,1,1,0,2
LiJu,24.0,China,2000,2000-10-01,Table Tennis,1,1,0,2
LiuGuoliang,24.0,China,2000,2000-10-01,Table Tennis,0,1,1,2
WangNan,21.0,China,2000,2000-10-01,Table Tennis,2,0,0,2
ViktoriyaAzarenko,22.0,Belarus,2012,2012-08-12,Tennis,1,0,1,2
MikeBryan,34.0,United States,2012,2012-08-12,Tennis,1,0,1,2
AndyMurray,25.0,Great Britain,2012,2012-08-12,Tennis,1,1,0,2
SerenaWilliams,30.0,United States,2012,2012-08-12,Tennis,2,0,0,2
FernandoGonzlez,24.0,Chile,2004,2004-08-29,Tennis,1,0,1,2
NicolsMass,26.0,Chile,2004,2004-08-29,Tennis,2,0,0,2
VenusWilliams,20.0,United States,2000,2000-10-01,Tennis,2,0,0,2
OnaCarbonell,22.0,Spain,2012,2012-08-12,Synchronized Swimming,0,1,1,2
AndreaFuentes,29.0,Spain,2012,2012-08-12,Synchronized Swimming,0,1,1,2
HuangXuechen,22.0,China,2012,2012-08-12,Synchronized Swimming,0,1,1,2
NataliyaIshchenko,26.0,Russia,2012,2012-08-12,Synchronized Swimming,2,0,0,2
LiuOu,25.0,China,2012,2012-08-12,Synchronized Swimming,0,1,1,2
SvetlanaRomashina,22.0,Russia,2012,2012-08-12,Synchronized Swimming,2,0,0,2
AnastasiyaDavydova,25.0,Russia,2008,2008-08-24,Synchronized Swimming,2,0,0,2
AndreaFuentes,25.0,Spain,2008,2008-08-24,Synchronized Swimming,0,2,0,2
GemmaMengual,31.0,Spain,2008,2008-08-24,Synchronized Swimming,0,2,0,2
AnastasiyaYermakova,25.0,Russia,2008,2008-08-24,Synchronized Swimming,2,0,0,2
AlisonBartosik,21.0,United States,2004,2004-08-29,Synchronized Swimming,0,0,2,2
AnastasiyaDavydova,21.0,Russia,2004,2004-08-29,Synchronized Swimming,2,0,0,2
AnnaKozlova,31.0,United States,2004,2004-08-29,Synchronized Swimming,0,0,2,2
MiyaTachibana,29.0,Japan,2004,2004-08-29,Synchronized Swimming,0,2,0,2
MihoTakeda,27.0,Japan,2004,2004-08-29,Synchronized Swimming,0,2,0,2
AnastasiyaYermakova,21.0,Russia,2004,2004-08-29,Synchronized Swimming,2,0,0,2
OlgaBrusnikina,21.0,Russia,2000,2000-10-01,Synchronized Swimming,2,0,0,2
MariyaKiselyova,25.0,Russia,2000,2000-10-01,Synchronized Swimming,2,0,0,2
MiyaTachibana,25.0,Japan,2000,2000-10-01,Synchronized Swimming,0,2,0,2
MihoTakeda,24.0,Japan,2000,2000-10-01,Synchronized Swimming,0,2,0,2
BeckyAdlington,23.0,Great Britain,2012,2012-08-12,Swimming,0,0,2,2
BronteBarratt,23.0,Australia,2012,2012-08-12,Swimming,0,1,1,2
ElizabethBeisel,19.0,United States,2012,2012-08-12,Swimming,0,1,1,2
MireiaBelmonte,21.0,Spain,2012,2012-08-12,Swimming,0,2,0,2
RickyBerens,24.0,United States,2012,2012-08-12,Swimming,1,1,0,2
AleksandraGerasimenya,26.0,Belarus,2012,2012-08-12,Swimming,0,2,0,2
BrendanHansen,30.0,United States,2012,2012-08-12,Swimming,1,0,1,2
JessicaHardy,25.0,United States,2012,2012-08-12,Swimming,1,0,1,2
ChadleClos,20.0,South Africa,2012,2012-08-12,Swimming,1,1,0,2
ClmentLefert,24.0,France,2012,2012-08-12,Swimming,1,1,0,2
AmauryLeveaux,26.0,France,2012,2012-08-12,Swimming,1,1,0,2
JamesMagnussen,21.0,Australia,2012,2012-08-12,Swimming,0,1,1,2
TakeshiMatsuda,28.0,Japan,2012,2012-08-12,Swimming,0,1,1,2
OussamaMellouli,28.0,Tunisia,2012,2012-08-12,Swimming,1,0,1,2
ParkTaeHwan,22.0,South Korea,2012,2012-08-12,Swimming,0,2,0,2
ChristianSprenger,26.0,Australia,2012,2012-08-12,Swimming,0,1,1,2
JeremyStravius,24.0,France,2012,2012-08-12,Swimming,1,1,0,2
AyaTerakawa,27.0,Japan,2012,2012-08-12,Swimming,0,0,2,2
NickThoman,26.0,United States,2012,2012-08-12,Swimming,1,1,0,2
MarleenVeldhuis,33.0,Netherlands,2012,2012-08-12,Swimming,0,1,1,2
YeShiwen,16.0,China,2012,2012-08-12,Swimming,2,0,0,2
BeckyAdlington,19.0,Great Britain,2008,2008-08-24,Swimming,2,0,0,2
LeithBrodie,22.0,Australia,2008,2008-08-24,Swimming,0,0,2,2
CateCampbell,16.0,Australia,2008,2008-08-24,Swimming,0,0,2,2
CsarCieloFilho,21.0,Brazil,2008,2008-08-24,Swimming,1,0,1,2
HuguesDuboscq,26.0,France,2008,2008-08-24,Swimming,0,0,2,2
FelicityGalvez,23.0,Australia,2008,2008-08-24,Swimming,2,0,0,2
GrantHackett,28.0,Australia,2008,2008-08-24,Swimming,0,1,1,2
KaraLynnJoyce,22.0,United States,2008,2008-08-24,Swimming,0,2,0,2
AmauryLeveaux,22.0,France,2008,2008-08-24,Swimming,0,2,0,2
ChristineMagnuson,22.0,United States,2008,2008-08-24,Swimming,0,2,0,2
PatrickMurphy,24.0,Australia,2008,2008-08-24,Swimming,0,0,2,2
ParkTaeHwan,18.0,South Korea,2008,2008-08-24,Swimming,1,1,0,2
ShayneReese,25.0,Australia,2008,2008-08-24,Swimming,1,0,1,2
BrentonRickard,24.0,Australia,2008,2008-08-24,Swimming,0,2,0,2
MelSchlanger,21.0,Australia,2008,2008-08-24,Swimming,1,0,1,2
JuliaSmit,20.0,United States,2008,2008-08-24,Swimming,0,1,1,2
BrittaSteffen,24.0,Germany,2008,2008-08-24,Swimming,2,0,0,2
HaydenStoeckel,24.0,Australia,2008,2008-08-24,Swimming,0,1,1,2
MattTargett,22.0,Australia,2008,2008-08-24,Swimming,0,1,1,2
PeterVanderkaay,24.0,United States,2008,2008-08-24,Swimming,1,0,1,2
ArkadyVyachanin,24.0,Russia,2008,2008-08-24,Swimming,0,0,2,2
GarrettWeberGale,23.0,United States,2008,2008-08-24,Swimming,2,0,0,2
LindsayBenko,27.0,United States,2004,2004-08-29,Swimming,1,1,0,2
GaryHallJr,29.0,United States,2004,2004-08-29,Swimming,1,0,1,2
BrookeHanson,26.0,Australia,2004,2004-08-29,Swimming,1,1,0,2
KaraLynnJoyce,18.0,United States,2004,2004-08-29,Swimming,0,2,0,2
KleteKeller,22.0,United States,2004,2004-08-29,Swimming,1,0,1,2
YanaKlochkova,22.0,Ukraine,2004,2004-08-29,Swimming,2,0,0,2
RachelKomisarz,27.0,United States,2004,2004-08-29,Swimming,1,1,0,2
LibbyLentonTrickett,19.0,Australia,2004,2004-08-29,Swimming,1,0,1,2
JasonLezak,28.0,United States,2004,2004-08-29,Swimming,1,0,1,2
RyanLochte,20.0,United States,2004,2004-08-29,Swimming,1,1,0,2
AliceMills,18.0,Australia,2004,2004-08-29,Swimming,2,0,0,2
TomomiMorita,19.0,Japan,2004,2004-08-29,Swimming,0,0,2,2
MarkusRogan,22.0,Austria,2004,2004-08-29,Swimming,0,2,0,2
JennyThompson,31.0,United States,2004,2004-08-29,Swimming,0,2,0,2
FranziskavanAlmsick,26.0,Germany,2004,2004-08-29,Swimming,0,0,2,2
NeilWalker,28.0,United States,2004,2004-08-29,Swimming,1,0,1,2
AmandaWeir,18.0,United States,2004,2004-08-29,Swimming,0,2,0,2
TakashiYamamoto,26.0,Japan,2004,2004-08-29,Swimming,0,1,1,2
BrookeBennett,20.0,United States,2000,2000-10-01,Swimming,2,0,0,2
BeatriceCoadaCaslaru,25.0,Romania,2000,2000-10-01,Swimming,0,1,1,2
JoshDavis,28.0,United States,2000,2000-10-01,Swimming,0,2,0,2
TomDolan,25.0,United States,2000,2000-10-01,Swimming,1,1,0,2
AnthonyErvin,19.0,United States,2000,2000-10-01,Swimming,1,1,0,2
DomenicoFioravanti,23.0,Italy,2000,2000-10-01,Swimming,2,0,0,2
GrantHackett,20.0,Australia,2000,2000-10-01,Swimming,2,0,0,2
GeoffHuegill,21.0,Australia,2000,2000-10-01,Swimming,0,1,1,2
LeiselJones,15.0,Australia,2000,2000-10-01,Swimming,0,2,0,2
KleteKeller,18.0,United States,2000,2000-10-01,Swimming,0,1,1,2
JasonLezak,24.0,United States,2000,2000-10-01,Swimming,1,1,0,2
DianaMocanu,16.0,Romania,2000,2000-10-01,Swimming,2,0,0,2
MartinaMoravcov,24.0,Slovakia,2000,2000-10-01,Swimming,0,2,0,2
EdMoses,20.0,United States,2000,2000-10-01,Swimming,1,1,0,2
DianaMunz,18.0,United States,2000,2000-10-01,Swimming,1,1,0,2
MaiNakamura,21.0,Japan,2000,2000-10-01,Swimming,0,1,1,2
ToddPearson,22.0,Australia,2000,2000-10-01,Swimming,2,0,0,2
AdamPine,24.0,Australia,2000,2000-10-01,Swimming,1,1,0,2
ClaudiaPoll,27.0,Costa Rica,2000,2000-10-01,Swimming,0,0,2,2
MeganQuannJendrick,16.0,United States,2000,2000-10-01,Swimming,2,0,0,2
GiaanRooney,17.0,Australia,2000,2000-10-01,Swimming,0,2,0,2
CourtneyShealy,22.0,United States,2000,2000-10-01,Swimming,2,0,0,2
AshleyTappin,25.0,United States,2000,2000-10-01,Swimming,2,0,0,2
StevTheloke,22.0,Germany,2000,2000-10-01,Swimming,0,0,2,2
AmyVanDyken,27.0,United States,2000,2000-10-01,Swimming,2,0,0,2
NeilWalker,24.0,United States,2000,2000-10-01,Swimming,1,1,0,2
JRCelski,19.0,United States,2010,2010-02-28,Short-Track Speed Skating,0,0,2,2
CharlesHamelin,25.0,Canada,2010,2010-02-28,Short-Track Speed Skating,2,0,0,2
LeeHoSeok,23.0,South Korea,2010,2010-02-28,Short-Track Speed Skating,0,2,0,2
ParkSeungHui,17.0,South Korea,2010,2010-02-28,Short-Track Speed Skating,0,0,2,2
KatherineReutter,21.0,United States,2010,2010-02-28,Short-Track Speed Skating,0,1,1,2
SeongSiBaek,22.0,South Korea,2010,2010-02-28,Short-Track Speed Skating,0,2,0,2
MarianneStGelais,19.0,Canada,2010,2010-02-28,Short-Track Speed Skating,0,2,0,2
FranoisLouisTremblay,29.0,Canada,2010,2010-02-28,Short-Track Speed Skating,1,0,1,2
ZhouYang,18.0,China,2010,2010-02-28,Short-Track Speed Skating,2,0,0,2
ChoiEunGyeong,21.0,South Korea,2006,2006-02-26,Short-Track Speed Skating,1,1,0,2
AnoukLeblancBoucher,21.0,Canada,2006,2006-02-26,Short-Track Speed Skating,0,1,1,2
FranoisLouisTremblay,25.0,Canada,2006,2006-02-26,Short-Track Speed Skating,0,2,0,2
ChoiEunGyeong,17.0,South Korea,2002,2002-02-24,Short-Track Speed Skating,1,1,0,2
GoGiHyeon,15.0,South Korea,2002,2002-02-24,Short-Track Speed Skating,1,1,0,2
JonathanGuilmette,23.0,Canada,2002,2002-02-24,Short-Track Speed Skating,1,1,0,2
LiJiajun,26.0,China,2002,2002-02-24,Short-Track Speed Skating,0,1,1,2
ApoloAntonOhno,19.0,United States,2002,2002-02-24,Short-Track Speed Skating,1,1,0,2
EvgeniyaRadanova,24.0,Bulgaria,2002,2002-02-24,Short-Track Speed Skating,0,1,1,2
MathieuTurcotte,25.0,Canada,2002,2002-02-24,Short-Track Speed Skating,1,0,1,2
WangChunlu,23.0,China,2002,2002-02-24,Short-Track Speed Skating,0,1,1,2
YangYangS,24.0,China,2002,2002-02-24,Short-Track Speed Skating,0,1,1,2
ShaniDavis,27.0,United States,2010,2010-02-28,Speed Skating,1,1,0,2
KristinaGroves,33.0,Canada,2010,2010-02-28,Speed Skating,0,1,1,2
ChadHedrick,32.0,United States,2010,2010-02-28,Speed Skating,0,1,1,2
SvenKramer,23.0,Netherlands,2010,2010-02-28,Speed Skating,1,0,1,2
LeeSeungHun,21.0,South Korea,2010,2010-02-28,Speed Skating,1,1,0,2
MoTaeBeom,21.0,South Korea,2010,2010-02-28,Speed Skating,1,1,0,2
IvanSkobrev,27.0,Russia,2010,2010-02-28,Speed Skating,0,1,1,2
MarkTuitert,29.0,Netherlands,2010,2010-02-28,Speed Skating,1,0,1,2
JoeyCheek,26.0,United States,2006,2006-02-26,Speed Skating,1,1,0,2
ShaniDavis,23.0,United States,2006,2006-02-26,Speed Skating,1,1,0,2
AnniFriesingerPostma,29.0,Germany,2006,2006-02-26,Speed Skating,1,0,1,2
KristinaGroves,29.0,Canada,2006,2006-02-26,Speed Skating,0,2,0,2
ClaraHughes,33.0,Canada,2006,2006-02-26,Speed Skating,1,1,0,2
SvenKramer,19.0,Netherlands,2006,2006-02-26,Speed Skating,0,1,1,2
ClaudiaPechstein,33.0,Germany,2006,2006-02-26,Speed Skating,1,1,0,2
CarlVerheijen,30.0,Netherlands,2006,2006-02-26,Speed Skating,0,0,2,2
ErbenWennemars,30.0,Netherlands,2006,2006-02-26,Speed Skating,0,0,2,2
IreenWst,19.0,Netherlands,2006,2006-02-26,Speed Skating,1,0,1,2
DerekParra,31.0,United States,2002,2002-02-24,Speed Skating,1,1,0,2
ClaudiaPechstein,29.0,Germany,2002,2002-02-24,Speed Skating,2,0,0,2
JenniferRodriguez,25.0,United States,2002,2002-02-24,Speed Skating,0,0,2,2
SimonAmmann,28.0,Switzerland,2010,2010-02-28,Ski Jumping,2,0,0,2
AdamMalysz,32.0,Poland,2010,2010-02-28,Ski Jumping,0,2,0,2
MattiHautamki,24.0,Finland,2006,2006-02-26,Ski Jumping,0,2,0,2
AndreasKofler,21.0,Austria,2006,2006-02-26,Ski Jumping,1,1,0,2
RoarLjkelsy,29.0,Norway,2006,2006-02-26,Ski Jumping,0,0,2,2
ThomasMorgenstern,19.0,Austria,2006,2006-02-26,Ski Jumping,2,0,0,2
SimonAmmann,20.0,Switzerland,2002,2002-02-24,Ski Jumping,2,0,0,2
SvenHannawald,27.0,Germany,2002,2002-02-24,Ski Jumping,1,1,0,2
MattiHautamki,20.0,Finland,2002,2002-02-24,Ski Jumping,0,1,1,2
AdamMalysz,24.0,Poland,2002,2002-02-24,Ski Jumping,0,1,1,2
NiccolCampriani,24.0,Italy,2012,2012-08-12,Shooting,1,1,0,2
JinJongO,32.0,South Korea,2012,2012-08-12,Shooting,2,0,0,2
